,company,year,price,kms_covered,fuel_type
658,Tata,2017,270000,50000,Diesel
659,Ford,2019,525000,0,Petrol
660,Honda,2006,180000,50000,Petrol
661,Maruti,2008,140000,68000,Petrol
662,Ford,2014,400000,16000,Petrol
663,Maruti,2016,499000,51000,Diesel
664,Maruti,2009,85000,56000,Petrol
665,Maruti,2004,70000,100000,Petrol
666,Renault,2015,550000,36000,Petrol
667,Maruti,2014,370000,11523,Petrol
668,Maruti,2018,690000,1000,Petrol
669,Honda,2009,250000,60000,Petrol
670,Tata,2016,110000,85000,Diesel
671,Renault,2013,490000,38600,Diesel
672,Mahindra,2009,320000,95500,Diesel
673,Maruti,2004,68000,56000,Petrol
674,Maruti,2014,130000,37458,Petrol
675,Maruti,2016,970000,85960,Diesel
676,Audi,2015,3100000,12516,Petrol
677,Hyundai,2018,280000,35000,Petrol
678,Maruti,2009,125000,0,Petrol
679,Mahindra,2008,285000,80000,Diesel
680,Hyundai,2011,165000,45000,Petrol
681,Maruti,2009,250000,51000,Diesel
682,Mahindra,2015,865000,30000,Diesel
683,Mahindra,2011,390000,48000,Diesel
684,Hyundai,2003,60000,51000,Petrol
685,Chevrolet,2015,215000,90000,Diesel
686,Maruti,2015,475000,43000,Diesel
687,Mahindra,2015,899000,53000,Diesel
688,Toyota,2013,1499000,97000,Diesel
689,Maruti,2013,240000,20000,Petrol
690,Hyundai,2007,99000,55000,Petrol
691,Maruti,2014,260000,120000,Diesel
692,Hyundai,2019,1200000,0,Petrol
693,Hyundai,2007,115000,46000,Petrol
694,Hyundai,2009,88000,43200,Petrol
695,Mahindra,2011,390000,56000,Diesel
696,Hyundai,2007,135000,42000,Petrol
697,Tata,2009,90000,30600,Diesel
698,Hyundai,2011,220000,38000,Petrol
699,Hyundai,2017,424999,2550,Petrol
700,Hyundai,2007,135000,47000,Petrol
701,Honda,2005,95000,41000,Petrol
702,Nissan,2017,430000,62500,Diesel
703,Honda,2005,115000,68000,Petrol
704,Maruti,2015,215000,50000,Petrol
705,Maruti,2004,53000,69000,Petrol
706,Maruti,2012,500000,48000,Diesel
707,Tata,2012,85000,55000,Diesel
708,Maruti,2013,165000,25000,Petrol
709,Hyundai,2014,200000,28400,Petrol
710,Hyundai,2014,200000,28000,Petrol
711,Maruti,2015,425000,42000,Diesel
712,Hyundai,2012,600000,29000,Diesel
713,Chevrolet,2005,130000,68485,Diesel
714,Tata,2018,430000,3500,Petrol
715,Tata,2019,568500,0,Petrol
716,Maruti,2006,71000,32000,Petrol
717,Mahindra,2018,560000,8000,Diesel
718,Ford,2014,590000,34000,Diesel
719,Hindustan,1995,750000,37000,Petrol
720,Ford,2007,125000,85455,Diesel
721,Hyundai,2007,135000,46000,Petrol
722,Hyundai,2002,60000,47000,Petrol
723,Fiat,2009,120000,64000,Petrol
724,Ford,2008,95000,46000,Petrol
725,Maruti,2017,240000,8000,Petrol
726,Tata,2012,115000,64000,Diesel
727,Mahindra,2015,795000,63000,Diesel
728,Hyundai,2007,55000,65000,Petrol
729,Mahindra,2009,300000,62000,Diesel
730,Hyundai,2014,320000,41000,Petrol
731,Maruti,2015,265000,14000,Petrol
732,Toyota,2006,160000,40000,Petrol
733,Hyundai,2017,300000,1600,Petrol
734,Tata,2010,130000,90000,Diesel
735,Maruti,2011,250000,58000,Diesel
736,Volkswagen,2013,380000,27000,Petrol
737,Maruti,2003,42000,60000,Petrol
738,Tata,2017,400000,31000,Petrol
739,Maruti,2009,120000,90000,Diesel
740,Maruti,2009,120000,90000,Diesel
741,Tata,2016,130000,150000,Diesel
742,Chevrolet,2014,189000,31000,Diesel
743,Mahindra,2011,365000,43000,Diesel
744,Hyundai,2013,170000,20000,Petrol
745,Tata,2013,215000,100000,Petrol
746,Tata,2013,60000,7000,Petrol
747,Hyundai,2017,599999,31000,Petrol
748,Hyundai,2009,400000,33000,Petrol
749,Hyundai,2016,900000,60000,Diesel
750,Volkswagen,2013,299999,48000,Diesel
751,Maruti,2014,374999,33000,Petrol
752,Tata,2015,600000,15000,Petrol
753,Maruti,2005,70000,47000,Petrol
754,Maruti,2005,100000,40000,Petrol
755,Maruti,2010,150000,38000,Diesel
756,Maruti,2017,225000,12500,Petrol
757,Maruti,2009,210000,42000,Petrol
758,Hyundai,2014,425000,31000,Petrol
759,Maruti,2008,162000,60000,Diesel
760,Tata,2005,60000,80000,Diesel
761,Mahindra,2014,650000,77000,Diesel
762,Toyota,2012,750000,75000,Diesel
763,Mahindra,2010,375000,40000,Diesel
764,Hyundai,2011,230000,47000,Petrol
765,Maruti,2000,35999,60000,Petrol
766,Mahindra,2016,380000,26500,Petrol
767,Mahindra,2019,560000,2875,Petrol
768,Datsun,2016,285000,13900,Petrol
769,Ford,2019,2900000,9000,Diesel
770,Tata,2005,39999,80000,Diesel
771,Hyundai,2006,85000,60000,Petrol
772,Maruti,2016,395000,20000,Petrol
773,Maruti,2008,175000,58000,Diesel
774,Maruti,2019,400000,1500,Petrol
775,Toyota,2011,750000,75000,Diesel
776,Maruti,2016,250000,2450,Petrol
777,Maruti,2019,425000,1625,Petrol
778,Volkswagen,2017,525000,45000,Petrol
779,Mahindra,2009,130000,65000,Diesel
780,Maruti,2000,30000,33400,Petrol
781,Mahindra,2011,475000,60123,Diesel
782,Chevrolet,2013,300000,28000,Petrol
783,Hyundai,2003,60000,70000,Petrol
784,Maruti,2006,100000,7000,Petrol
785,Hyundai,2018,260000,25000,Petrol
786,Tata,2015,100000,100000,Diesel
787,Toyota,2013,265000,42000,Petrol
788,Hyundai,2009,115000,20000,Petrol
789,Toyota,2003,180000,100000,Diesel
790,Hyundai,2004,45000,137495,Petrol
791,Tata,2016,50500,91200,Diesel
792,Honda,2009,270000,55000,Petrol
793,Tata,2017,290000,120000,Diesel
794,Mahindra,2013,325000,63000,Diesel
795,Tata,2016,160000,104000,Diesel
796,Maruti,2016,350000,146000,Diesel
797,Hyundai,2011,290000,40000,Petrol
798,Hyundai,2011,290000,40000,Petrol
799,Chevrolet,2007,465000,100800,Diesel
800,Maruti,2016,325000,150000,Diesel
801,Hyundai,2018,510000,2100,Petrol
802,Honda,2016,860000,95000,Petrol
803,Maruti,2016,450000,2500,Diesel
804,Hyundai,2006,125000,80000,Petrol
805,Mercedes,2006,500001,15000,Petrol
806,Maruti,2005,95000,65000,Petrol
807,Maruti,2009,250000,51000,Diesel
808,Skoda,2009,110000,45000,Petrol
809,Maruti,2011,270000,50000,Petrol
810,Tata,2009,110000,30000,Diesel
811,Toyota,2009,300000,132000,Petrol
812,Tata,2018,260000,27000,Diesel
813,Mahindra,2013,390000,40000,Diesel
